YEAR,Y,Q
1965,9758.713856,41.04624658
1966,10386.00806,48.69731507
1967,10762.79296,48.1849863
1968,11226.13555,48.54196721
1969,12400.27648,50.43673973
1970,13091.72736,56.94950685
1971,13779.10374,62.34528767
1972,15125.34426,70.30275956
1973,19914.57792,80.90860274
1974,24313.78842,81.7709863
1975,23752.68557,89.33221918
1976,29872.88576,96.90595628
1977,34397.35194,108.8540822
1978,38580.67456,120.1702466
1979,47275.22918,145.2173425
1980,54285.45126,161.5388798
1981,58669.38778,169.9661644
1982,63726.44454,182.7412329
1983,71223.43526,195.3853425
1984,81008.52531,191.0315574
1985,78890.48371,192.0044932
1986,72906.74381,192.9881096
1987,81084.99763,197.928
1988,92370.00192,208.6248634
1989,105232.9984,227.042137
1990,119081.001,269.6561096
1991,135123.0013,290.0349589
1992,150681.9932,292.9748962
1993,172193.0056,330.9548082
1994,195460.0059,386.2802192
1995,222471.9954,402.2010274
1996,253732.9951,435.0196339
1997,281795.0024,466.6086164
1998,283242.9875,437.8789589
1999,300764.0044,468.1117945
2000,356401,481.8915902
2001,352579,505.9568493
2002,383213,560.7166468
2003,418769,560.8844609
2004,474048,584.8506529
2005,543578,579.5087345
2006,596784,614.9099236
2007,665340,672.0654186
2008,769949,661.116125
2009,712857,661.9263902
2010,795037,672.1108013
2011,881080,682.0028747
2012,937532,697.1308926
